County,Date,Deaths
 Ector County ,2004,23
 Ector County ,2005,27
 Ector County ,2006,25
 Ector County ,2007,19
 Ector County ,2008,32
 Ector County ,2009,24
 Ector County ,2010,22
 Ector County ,2011,31
 Ector County ,2012,20
 Edwards County ,1999,0
 Edwards County ,2000,0
 Edwards County ,2001,0
 Edwards County ,2002,0
 Edwards County ,2003,0
 Edwards County ,2004,2
 Edwards County ,2005,0
 Edwards County ,2006,0
 Edwards County ,2007,0
 Edwards County ,2008,0
 Edwards County ,2009,0
 Edwards County ,2010,0
 Edwards County ,2011,1
 Edwards County ,2012,0
 Ellis County ,1999,16
 Ellis County ,2000,26
 Ellis County ,2001,20
 Ellis County ,2002,15
 Ellis County ,2003,25
 Ellis County ,2004,17
 Ellis County ,2005,25
 Ellis County ,2006,21
 Ellis County ,2007,26
 Ellis County ,2008,18
 Ellis County ,2009,11
 Ellis County ,2010,19
 Ellis County ,2011,13
 Ellis County ,2012,22
 El Paso County ,1999,83
 El Paso County ,2000,52
 El Paso County ,2001,91
 El Paso County ,2002,75
 El Paso County ,2003,49
 El Paso County ,2004,80
 El Paso County ,2005,86
 El Paso County ,2006,72
 El Paso County ,2007,40
 El Paso County ,2008,60
 El Paso County ,2009,73
 El Paso County ,2010,59
 El Paso County ,2011,71
 El Paso County ,2012,59
 Erath County ,1999,9
 Erath County ,2000,9
 Erath County ,2001,10
 Erath County ,2002,10
 Erath County ,2003,8
 Erath County ,2004,6
 Erath County ,2005,8
 Erath County ,2006,6
 Erath County ,2007,3
 Erath County ,2008,3
 Erath County ,2009,5
 Erath County ,2010,1
 Erath County ,2011,4
 Erath County ,2012,7
 Falls County ,1999,10
 Falls County ,2000,7
 Falls County ,2001,12
 Falls County ,2002,8
 Falls County ,2003,11
 Falls County ,2004,7
 Falls County ,2005,3
 Falls County ,2006,10
 Falls County ,2007,3
 Falls County ,2008,6
 Falls County ,2009,3
 Falls County ,2010,2
 Falls County ,2011,4
 Falls County ,2012,6
 Fannin County ,1999,13
 Fannin County ,2000,16
 Fannin County ,2001,26
 Fannin County ,2002,19
 Fannin County ,2003,16
 Fannin County ,2004,12
 Fannin County ,2005,12
 Fannin County ,2006,8
 Fannin County ,2007,11
 Fannin County ,2008,12
 Fannin County ,2009,12
 Fannin County ,2010,11
 Fannin County ,2011,5
 Fannin County ,2012,7
 Fayette County ,1999,11
 Fayette County ,2000,13
 Fayette County ,2001,18
 Fayette County ,2002,12
 Fayette County ,2003,18
 Fayette County ,2004,11
 Fayette County ,2005,12
 Fayette County ,2006,7
 Fayette County ,2007,10
 Fayette County ,2008,8
 Fayette County ,2009,2
 Fayette County ,2010,4
 Fayette County ,2011,0
 Fayette County ,2012,4
 Fisher County ,1999,1
 Fisher County ,2000,1
 Fisher County ,2001,0
 Fisher County ,2002,1
 Fisher County ,2003,1
 Fisher County ,2004,0
 Fisher County ,2005,1
 Fisher County ,2006,0
 Fisher County ,2007,5
